teks,kategori
"Wargaa Soreang ngeluh Data Terpadu Kesejahteraan Sosial (DTKS) nama dicoret tiba-tiba padahal miskin, dampaknya lansia kurang mampu kesulitan beli beras, tolong dinas sosial audit ulang data penerima",Bansos
"Lapor pak, Bantuan bedah rmh rutilahu Cibiru kualitas beras berkutu, apek dan hancur lansia kurang mampu kesulitan beli beras. mohon penyaluran bansos dilakukan secara transparan",Bansos
"Warga Cangkuang ngeluh Genangan cileuncang tanggulnya rembes dan bocor, dampaknya warga terpaksa ngungsi k mushola, butuh perahu karet buat evakuasi warga",Sampah/Banjir
"Warga Soreang ngeluh Drainase pemukiman mampet total gara-gara plastik dan sampah, dampaknya bau busuk kecium sampe radius 300 meter, dinas kebersihan tolong angkut sampahnya",Sampah/Banjir
Min plis Saluran air induk daerah Cangkuang merenda rmh warga setinggi paha sampe anak sekolah ga bs lewat,Sampah/Banjir
"Lapor pak, Bantuan modal UMKM Cilengkrang saldo d kartu e-warong kosong melompong korban PHK ga dapet perhatian sama sekali. plis dinas sosial audit ulang data penerima",Bansos
"Petugas kebersihan jarang lewat, sampah numpuk sampe ke jalan",Sampah/Banjir
Bantuan sosial yang dijanjikan pas pandemi belum semua tersalurkan,Bansos
"TPS deket rumah penuh sampah berhari-hari, banyak lalat dan bau",Sampah/Banjir
Min tolong Preman pasar daerah Pangalengan nyolong barang warga secara beruntun sampee korban mengalami luka sabetan sajam,Keamanan/Ketertiban
"Lapor pak, Bantuan bedah rmh rutilahu Ciganitri salah sasaran yg mampu dan bermobil malah dapet warga miskin beneran cuma bisa gigit jari. mohon kades/lurah tindak tegas oknum yg motong",Bansos
Min tolong Kali dekat pasar daerah Banjaran bikin bau comberan masuk k kamar sampe bikin warga gatal-gatal dan batuk,Sampah/Banjir
"mohon pasang lampu jalan dan cctv di titik rawan, Pemuda mabuk-mabukan di Cibaduyut udah terjadi terus tiap mlem minggu bikin banyak kehilangan muntor dlm sepekan",Keamanan/Ketertiban
"Lapor pak, Pelecehan / catcalling Majalaya maksa minta uang keamanan k pedagang kecil warga takut keluar rumah malem hari. tlong polres dan polsek rutin patroli malam",Keamanan/Ketertiban
Bansos sembako belum cair padahal udah didata dari bulan lalu,Bansos
"Parah bgt Jalan dekat pasar sekitar Arjasari aspal hotmix nya ngelotok, udh brp kali ada korban kecelakaan tolong segera ditindak",Jalan Rusak
"Warga Ujungberung ngeluh Warung miras ilegal sering lempar batu dan botol kaca, dampaknya warga jadi was-was dan ga tenang, plis polres dan polsek rutin patroli mlem",Keamanan/Ketertiban
"min tolong sampaikan ke dinas terkait, Jalan gang d Ciparay udah aspal hotmix nya ngelotok bikin bikin macet parah tiap pagi",Jalan Rusak
"Preman pasar d Nagreg beraksi pas subuh warga lagi sholat, lingkungan jadi rawan kriminal, mohon aparat keamanan segera bertindak tegas",Keamanan/Ketertiban
Perkelahian antar kelompok pemuda pecah di lapangan futsal,Keamanan/Ketertiban
"tolong keruk selokan min, Sampah di TPS di Ibun udah penuh belatung dan lalat hijau bikin barang elektronik pada rusak kerendem",Sampah/Banjir
Warga difabel kesulitan akses informasi soal bantuan yang tersedia,Bansos
"Paving block jalan di Pameungpeuk banyak jeglongan sewu, bikin macet parah tiap pagi, min tolong sampaikan ke dinas terkait",Jalan Rusak
"Warga Kutawaringin ngeluh Sungai/kali airnya item pekat dan berbau busuk, dampaknya bau busuk kecium samp radius 300 meter, dinas kebersihan tlg angkut sampahnya",Sampah/Banjir
"Bantuan bedah rumah rutilahu d Pameungpeuk nama dicoret tiba-tiba padahal miskin, lansia kurang mampu kesulitan beli beras, plis usut tuntas pungli bantuan sosial ini",Bansos
"Lapor pak, Sampah rumah tangga Tegalluar merendam rumah warga setinggi paha motor mogok massal pas nekat nerobos. tolong keruk selokan min",Sampah/Banjir
"Lapor pak, Gorong-gorong Tegalluar bikin bau comberan masuk k kamar bikin warga gatal-gatal dan batuk. mohon dinas lingkungan hidup turun tangan",Sampah/Banjir
"tolong polres dan polsek rutin patroli mlm, Aksi tawuran remaja d Cibiru udah makin marak dan meresahkan warga bikin warga jadi was-was dan ga tenang",Keamanan/Ketertiban
"Sampah rumah tangga di Dayeuhkolot mampet total gara-gara plastik dan sampah, bikin warga gatal-gatal dan batuk, tolong armada truk sampah segera dateng",Sampah/Banjir
"Tumpukan sampah liar di Cilengkrang merendam rmh warga setinggi paha, anak sekolah ga bsa lewat, butuh perahu karet buat evakuasi warga",Sampah/Banjir
"Parah banget Kartu Indonesia Sehat (KIS PBI) sekitar Kopo salah sasaran yg mampu dan bermobil malah dapet, anak yatim ga bsa beli perlengkapan sekolah tolong segera ditindak",Bansos
"Lapor pak, Jalan utama Cibiru ancur lebur bikin motor sering jatoh tiap malem. pliss segera di tindaklanjuti pa",Jalan Rusak
"Warga Bojongmalaka ngeluh Bansos PKH dan BPNT saldo di kartu e-warong kosong melompong, dampaknya uang bantuan berkurang banyak kepotong pungli, tolong usut tuntas pungli bantuan sosial ini",Bansos
"Parah bngt Got depan rmh warga sekitar Rancamanyar meluap k jalan tiap ujan lebat, bau busuk kecium sampe radius 300 meter tlong segera ditindak",Sampah/Banjir
"Warga Bojongsoang ngeluh Trotoar bergelombang bikin oleng, dampaknya warga was2 tiap lewat apalagi pas ujan, tolong dinas pupr segera aspal ulang",Jalan Rusak
"plis pak camat segera tinjau lokasi, Drainase pemukiman di Ujungberung udah menggunung udah berminggu-minggu ga diangkut bikin banyak nyamuk DBD",Sampah/Banjir
"Warga Rancamanyar ngeluh Jalan utama rusak kena kikis air comberan, dampaknya pemotor sering kaget ngerem mendadak, jangan nunggu ada korban jiwa baru dibenerin",Jalan Rusak
"Pemuda mabuk-mabukan di Solokan Jeruk maksa minta uang keamanan ke pedagang kecil, warga jadi was-was dan ga tenang, mohonn pasang lampu jalan dan cctv di titik rawan",Keamanan/Ketertiban
"Keamanan pasar minim, banyak copet berkeliaran pas hari ramai",Keamanan/Ketertiban
"Lapor pak, Banjir tahunan Pasirjambu penuh belatung dan lalat hijau bau busuk kecium sampe radius 300 meter. minta bantuan pompa air sedot banjir min",Sampah/Banjir
"mohon dinas lingkunga hidup turun tangan, Tumpukan sampah liar di Margahayu udah penuh belatung dan lalat hijau bikin motor mogok massal pas nekat nerobos",Sampah/Banjir
"Parah banget Preman pasar sekitar Cibiru terjadi terus tiap malam minggu, lingkungan jadi rawan kriminal tolong segera ditindak",Keamanan/Ketertiban
"Lapor pak, Jalan utama Ujungberung bolong dalem bgt bikin velg muntor peang dan ban bocor. tolong pak lurah perhatikan jalan kami",Jalan Rusak
"Warga Majalaya ngeluh Saluran air induk penuh belatung dan lalat hijau, dampaknya bikin lingkungan kumuh dan bau menyengat, mohon dinas lingkungan hidup turun tangan",Sampah/Banjir
"Lapor pak, Knalpot brong bising Cimenyan sering lempar batu dan botol kaca pengendara motor cewek takut lewat situ. tangkap dan tindak oknum preman meresahkan",Keamanan/Ketertiban
Sampah liar dibuang sembarangan bikin lingkungan jadi kumuh,Sampah/Banjir
"Parah banget Judi online slot sekitar Ciwidey nongkrong di pos ronda sambil nenggak ciu, warga jadi was-was dan ga tenang tolong segera ditindak",Keamanan/Ketertiban
"Warga Cicalengka ngeluh Banjir tahunan ga surut-surut udah 3 hari, dampaknya bau busuk kecium sampe radius 300 meter, mohon dinas lingkungan hidup turun tangan",Sampah/Banjir
"Genangan cileuncang di Kutawaringin mampet total gara-gara plastik dan sampah, bau busuk kecium sampe radius 300 meter, tolong armada truk sampah segera dateng",Sampah/Banjir
"Warga Ciparay ngeluh Jalan desa bolong dalem banget, dampaknya shockbreaker muntor jebol, plis dinas pupr seger aspal ulang",Jalan Rusak
"Paving block jalan di Manggahang penuh kubangan air, shockbreaker motor jebol, kapan mau ditambal min?",Jalan Rusak
"Pencairan dana bansos d kantor pos/bank d Cangkuang ada pemotongan dana sepihak oleh oknum RT/RW, uang bantuan berkurang banyak kepotong pungli, tolong verifikasi lapangan langsung ke rumah warga",Bansos
"Lapor pak, Warung miras ilegal Kopo maksa minta uang keamanan ke pedagang kecil banyak kehilangan motor dlm sepekan. mohon aparat keamanan segera bertindak tegas",Keamanan/Ketertiban
Min tolong Kali dekat pasar daerah Ibun tanggulnya rembes dan bocor sampe barang elektronik pada rusak kerendem,Sampah/Banjir
"Jalan poros di Bojongmalaka amblas separuh badan, bahaya bgt buat anak2 sekolah, minta tolong segera di hotmix",Jalan Rusak
"Warga Paseh ngeluh Pemuda mabuk-mabukan maksa minta uang keamanan k pedagang kecil, dampaknya pedagang kecil rugi diperas terus, tangkap dan tindak oknum preman meresahkan",Keamanan/Ketertiban
"Lapor pak, Judi online slot Pangalengan bikin suara bising ga bisa tidur tiap malam banyak kehilangan muntor dlm sepekan. plis pos kamling diaktifkan lagi",Keamanan/Ketertiban
"tangkap dan tindak oknum preman meresahkan, Geng muntor ugal-ugalan di Cimenyan udah nyolong barang warga secara beruntun bikin pengendara muntor cewek takut lewat situ",Keamanan/Ketertiban
"Jalan di komplek udh 3thn ga diaspal ulang, rusak parah semua",Jalan Rusak
"Genangan cileuncang di Soreang bikin bau comberan masuk ke kamar, mtr mogok massal pas nekat nerobos, dinas kebersihan tolong angkut sampahnya",Sampah/Banjir
"Parah banget Jalan raya sekitar Dayeuhkolot licin dan banyak kerikil tajam, bikin debu tebel kalo panas plis segera ditindak",Jalan Rusak
"tolong secepatnya di perbaiki min, Trotoar di Ibun udah aspalnya udah ngelupas abis bikin shockbreaker mtr jebol",Jalan Rusak
"Got di depan rumah saya mampet sampah, airnya meluap ke jalan",Sampah/Banjir
"tolong pak camat segera tinjau lokasi, Tempat penampungan sampah d Banjaran udah penuh belatung dan lalat hijau bikin akses jalan lumpuh total ga bsa lewat motor",Sampah/Banjir
"Warga Ciwidey ngeluh Tempat penampungan sampah ga surut-surut udah 3 hari, dampaknya bau busuk kecium sampe radius 300 meter, tolong buatin tanggu darurat pa kades",Sampah/Banjir
Sampah dari pasar dibuang ke kali bikin airnya makin item,Sampah/Banjir
"Warga Soreang ngeluh Jalan komplek aspalnya udah ngelupas abis, dampaknya warga was2 tiap lewat apalagi pas ujan, mohon pak bupati gercep benerinn",Jalan Rusak
"Lapor pak, Bantuan santunan lansia Banjaran udah 3 bulan belum cair tanpa penjelasan anak yatim ga bs beli perlengkapan sekolah. plis verifikasi lapangan langsung ke rumah warga",Bansos
"Lapor pak, Jalan dekat pasar Cibiru penuh kubangan air bikin motor sering jatoh tiap malem. tlg secepatnya di perbaiki min",Jalan Rusak
"Parah banget Drainase pemukiman sekitar Kutawaringin lumpur sedimennya udah tebel bgt, akses jalan lumpuh total ga bisa lewat motor tolong segera ditindak",Sampah/Banjir
"Pencairan dana bansos d kantor pos/bank d Cilengkrang proses birokrasinya dipersulit petugas kelurahan, warga miskin beneran cuma bsa gigit jari, plis bantu proses pencairan kartu saya min",Bansos
"Kartu Indonesia Sehat saya bermasalah, ga bisa dipake di puskesmas",Bansos
"mohon pasang lampu jalan dan cctv di titik rawan, Warung miras ilegal di Bojongsoang udah berkeliaran bawa senjata tajam / cerulit bikin banyak kehilangan mtr dlm sepekan",Keamanan/Ketertiban
"Kartu Keluarga Sejahtera (KKS) di Kutawaringin udah 3 bulan belum cair tanpa penjelasan, warga sakit ga bsa berobat krn KIS dinonaktifkan, mohon kades/lurah tindak tegas oknum yg motong",Bansos
Anak sekolah sering diganggu preman di jalan pulang sekolah,Keamanan/Ketertiban
"Para banget Warung miras ilegal sekitar Ciganitri makin marak dan meresahkan warga, warga jadi was-was dan ga tenang tolong segera ditindak",Keamanan/Ketertiban
"Lapor pak, Warung miras ilegal Sapan sering lempar batu dan botol kaca lingkungan jadi rawan kriminal. mohon pasang lampu jalan dan cctv di titik rawan",Keamanan/Ketertiban
"Warga Cimenyan ngeluh Geng motor ugal-ugalan neror anak-anak sekolah pas pulang, dampakny anak balita kaget nangis kebangun, mohon pasang lampu jalan dan cctv di titik rawan",Keamanan/Ketertiban
"Jalan alternatif di Cangkuang berlubang parah, mobil ceper sering mentok, pliss segera di tindaklanjuti pa",Jalan Rusak
Min tolong Aksi tawuran remaja daerah Pangalengan nyolong barang warga secara beruntun sampe lingkungan jadi rawan kriminal,Keamanan/Ketertiban
"Warga Banjaran ngeluh Geng motor ugal-ugalan terjadi terus tiap mlm minggu, dampaknya korban mengalami luka sabetan sajam, tolong polres dan polsek rutin patroli mlm",Keamanan/Ketertiban
"Lapor pak, Tumpukan sampah liar Gedebage lumpur sedimennya udah tebel bgt warga terpaksa ngungsi ke mushola. tlg armada truk sampah segera dateng",Sampah/Banjir
"Min tolong Bansos PKH dan BPNT daerah Pangalengan kualitas beras berkutu, apek dan hancur sampe lansia kurang mampu kesulitan beli beras",Bansos
"Parah banget Bantuan modal UMKM sekitar Dayeuhkolot kualitas beras berkutu, apek dan hancur, anak yatim ga bsa beli perlengkapan sekolah tlg segera ditindak",Bansos
"Banjir tiap hujan deras di perumahan Bojongsoang, air masuk rumah",Sampah/Banjir
"Warga Pameungpeuk ngeluh Paving block jalan bolong dalem banget, dampaknya warga was2 tiap lewat apalagi pas ujan, tolong pak lurah perhatikan jalan kami",Jalan Rusak
"Data Terpadu Kesejahteraan Sosial (DTKS) di Soreang salah sasaran yg mampu dan bermobil malah dapet, korban PHK ga dapet perhatian sama sekali, tolong usut tuntas pungli bantuan sosial ini",Bansos
"mohon penyaluran bansos dilakukan secara transparan, Kartu Keluarga Sejahtera (KKS) di Cangkuang udah udah 3 bulan belum cair tanpa penjelasan bikin korban PHK ga dapet perhatia sama sekali",Bansos
Air got item dan bau menyengat di deket pasar tradisional,Sampah/Banjir
"Warga Margahayuu ngeluh Tempat penampungan sampah penuh belatung dan lalat hijau, dampaknya banyak nyamuk DBD, tolong keruk selokan min",Sampah/Banjir
"kapan mau ditambal min?, Jalan dekat pasar di Dayeuhkolot udah retak-retak parah bikin pemotor sering kaget ngerem mendadak",Jalan Rusak
"Sampah rumah tangga di Pameungpeuk penuh sampah kasur dan plastik, warga terpaksa ngungsi ke mushola, mohon dinas lingkungan hidup turun tangan",Sampah/Banjir
"Parah banget Jalan komplek sekitar Kopo bolong dalem banget, bikinn velg muntor peang dan ban bocor tolong segera ditindak",Jalan Rusak
"tolong polres dan polsek rutin patroli mlem, Pencurian rmh kosong d Arjasari udah nyolong barang warga secara beruntun bikin warga takut keluar rmh malem hari",Keamanan/Ketertiban
"Pintu air d Paseh baunya nusuk hidung bikin enek, banyak nyamuk DBD, tolong pak camat segera tinjau lokasi",Sampah/Banjir
"Lapor pak, Geng muntor ugal-ugalan Baleendah neror anak-anak sekolah pas pulang warga jadi was-was dan ga tenang. mohon aparat keamanan segera bertindak tegas",Keamanan/Ketertiban
"Sungai Citarum penuh sampah plastik, airnya item dan bau",Sampah/Banjir
"Lapor pak, Bantuan santunan lansia Kopo udah 3 bulan belum cair tanpaa penjelasan warga miskin beneran cuma bsa gigit jari. plis verifikasi lapangan langsung ke rmh warga",Bansos
"Lapor pak, Pencairan dana bansos di kantor pos/bank Bojongsoang keluarga dan timses kades diprioritaskan anak yatim ga bisa beli perlengkapan sekolah. mohon kades/lurah tindak tegas oknum yg motong",Bansos
"Parah bngt Sound horeg hajatan sekitar Ibun maksa minta uang keamanan ke pedagang kecil, lingkungan jadi rawan kriminal tolong segera ditindak",Keamanan/Ketertiban
"Warga yang sudah meninggal masih terdaftar dapat bansos, yang butuh malah engga",Bansos
Min tolong Penyaluran beras bansos daerah Cangkuang nama dicoret tiba-tiba padahal miskin sampe warga miskin beneran cuma bs gigit jari,Bansos
"Parah banget Jalur tanjakan sekitar Kopo retak-retak parah, pemotor sering kaget ngerem mendadak tolong segera ditindak",Jalan Rusak
Min plis Maling jemuran dan gas lpg daerah Cibaduyut sering lempar batu dan botol kaca sampe pengendara motor cewek takut lewat situ,Keamanan/Ketertiban
"butuh perahu karet buat evakuasi warga, Genangan cileuncang d Paseh udah mampet total gara-gara plastik dan sampah bikin bikin lingkungan kumuh dan bau menyengat",Sampah/Banjir
Min tolong Jalan desa daerah Margahayu rusak parah abis dilewatin truk sampe shockbreaker motor jebol,Jalan Rusak
"Lapor pak, Paving block jalan Nagreg banyak jeglongan sewu shockbreaker motor jebol. jangan nunggu ada korban jiwa baru dibenerin",Jalan Rusak
"Sungai/kali di Cibiru lumpur sedimennya udah tebel bgt, akses jalan lumpuh total ga bisa lewat muntor, tolong keruk selokan min",Sampah/Banjir
Tanjakan jalan di daerah pegunungan retak dan longsor sedikit,Jalan Rusak
"Warga Rancamanyar ngeluh Preman pasar beraksi pas subuh warga lagi sholat, dampaknya warga takut keluar rumah malem hari, tangkap dan tindak oknum preman meresahkan",Keamanan/Ketertiban
"tolong buatin tanggul darurat pa kades, Tempat penampungan sampah d Bojongmalaka udah bikin bau comberan masuk ke kamar bikin motor mogok massal pas nekat nerobos",Sampah/Banjir
"Parah bgt Kali dekat pasar sekitar Cikoneng penuh belatung dan lalat hijau, akses jalan lumpuh total ga bs lewat motor plis segera ditindak",Sampah/Banjir
"Parah bgt Air selokan sekitar Tegalluar mampet total gara-gara plastik dan sampah, bau busuk kecium sampe radius 300 meter tolong segera ditindak",Sampah/Banjir
"Lapor pak, Jalur tanjaka Pameungpeuk aspalnya udah ngelupas abis bahaya bgt buat anak2 sekolah. minta tolong segera di hotmix",Jalan Rusak
"Lapor pak, Jalan alternatif Ciparay licin dan banyak kerikil tajam bikin macet parah tiap pagi. pliss segera d tindaklanjuti pa",Jalan Rusak
"Parah bngt Tempat penampungan sampah sekitar Katapang menggunung udah berminggu-minggu ga diangkut, barang elektronik pada rusak kerendem tolong segera ditindak",Sampah/Banjir
"Parah banget Geng motor ugal-ugalan sekitar Cileunyi beraksi pas subuh warga lagi sholat, korban mengalami luka sabetan sajam tolong segera ditindak",Keamanan/Ketertiban
Min plis Sampah di TPS daerahh Ciparay penuh sampah kasur dan plastik sampe akses jalan lumpuh total ga bisa lewat motor,Sampah/Banjir
"Warga Baleendah ngeluh Gorong-gorong ga surut-surut udah 3 hari, dampaknya akses jalan lumpuh total ga bs lewat motor, tlg pak camat segera tinjau lokasi",Sampah/Banjir
"Warga Kutawaringin ngeluh Preman pasar berkeliaran bawa senjata tajam / cerulit, dampaknya warga jadi was-was dan ga tenang, tolong polres dan polsek rutin patroli mlm",Keamanan/Ketertiban
"Warga Baleendah ngeluh Jln protokol penuh kubangan air, dampaknya udh brp kali ada korban kecelakaan, jangan nunggu ada korban jiwa baru dibenerin",Jalan Rusak
Min tolong Jala utama daerah Ujungberung retak-retak parah sampe mobil ceper sering mentok,Jalan Rusak
"Lapor pak, Sungai/kali Tegalluar tanggulnya rembes dan bocor bau busuk kecium sampe radius 300 meter. tolong armada truk sampah segera dateng",Sampah/Banjir
"Parah bange Jalan utama sekitar Katapang amblas separuh badan, bahaya bgt buat anak2 sekolah tlg segera ditindak",Jalan Rusak
"Parah banget Gorong-gorong sekitar Cibiru lumpur sedimennya udah tebel bgt, bau busuk kecium sampe radius 300 meter tolong segera ditindak",Sampah/Banjir
"Parah bgt Data Terpadu Kesejahteraan Sosial (DTKS) sekitar Arjasari kualitas beras berkutu, apek dan hancur, lansia kurang mampu kesulitan beli beras tolong segera ditindak",Bansos
Kebisingan dari knalpot brong tiap malam ganggu warga yang mau istirahat,Keamanan/Ketertiban
"Warga Sukamenak ngeluh Pencairan dana bansos di kantor pos/bank ada pemotongan dana sepihak oleh oknum RT/RW, dampaknya korban PHK ga dapet perhatian sama sekali, mohon kades/lurah tindak tegas oknum yg motong",Bansos
"tolong bantu proses pencairan kartu sy min, Bantuan bedah rumah rutilahu d Ibun udah kualitas beras berkutu, apek dan hancur bikin warga sakit ga bisa berobat krn KIS dinonaktifkan",Bansos
"Lapor pak, Aksi tawuran remaja Pangalengan makin marak dan meresahkan warga banyak kehilangan muntor dlm sepekan. mohon aparat keamana segera bertindak tegas",Keamanan/Ketertiban
"Pintu air di Tegalluar penuh belatung dan lalat hijau, bikin warga gatal-gatal dan batuk, tlong keruk selokan min",Sampah/Banjir
"Warga Margahayu ngeluh Air selokan baunya nusuk hidung bikin enek, dampaknya barang elektronik pada rusak kerendem, mohon dinas lingkungan hidup turun tangan",Sampah/Banjir
"mohon penyaluran bansos dilakukan secara transparan, Kartu Sembako Murah di Cikoneng udah saldo di kartu e-warong kosong melompong bikin uang bantuan berkurang banyak kepotong pungli",Bansos
Min tolong Bantuan santunan lansia daerah Cikoneng proses birokrasinya dipersulit petugas kelurahan sampe uang bantuan berkurang banya kepotong pungli,Bansos
Min tlg Pintu air daerah Dayeuhkolot merendam rumah warga setinggi paha sampe banyak nyamuk DBD,Sampah/Banjir
"Jalan gang di Banjaran ancur lebur, warga was2 tiap lewat apalagii pas ujan, minta tolong segera di hotmix",Jalan Rusak
"minta bantuan pompa air sedot banjir min, Saluran air induk d Sukamenak udah tanggulnya rembes dan bocor bikin warga terpaksa ngungsi k mushola",Sampah/Banjir
"Warga Soreang ngeluh Sungai/kali ga surut-surut udah 3 hari, dampaknya anak sekolah ga bisa lewat, tolong pak camat segera tinjau lokasi",Sampah/Banjir
Jalan bergelombang di Soreang bikin motor ga stabil pas lewat,Jalan Rusak
Banjir bandang kecil di Ciwidey abis hujan deras semalaman,Sampah/Banjir
"Warga Ciwidey ngeluh Knalpot brong bising beraksi pas subuh warga lagi sholat, dampaknya anak balita kaget nangis kebangun, mohon pasang lampu jalan dan cctv di titik rawan",Keamanan/Ketertiban
"Warga Baleendah ngeluh Genangan cileuncang mampet total gara-gara plastik dan sampah, dampaknya bikin lingkungan kumuh dan bau menyengat, mohon dinas lingkungan hidup turun tangan",Sampah/Banjir
"Lapor pak, Kartu Sembako Murah Cikoneng keluarga dan timses kades diprioritaskan korban PHK ga dapet perhatian sama sekali. mohon penyaluran bansos dilakukan secara transparan",Bansos
Min tolong Bansos PKH dan BPNT daerah Cimenyan aplikasi pendaftaran bansos error dan gbs login sampe korban PHK ga dapet perhatian sama sekali,Bansos
Min tolong Kartu Sembako Murah daerah Banjaran nama dicoret tiba-tiba padahal miskin sampe uang bantuan berkurang banyak kepotong pungli,Bansos
"Parah bgt Akses jalan masuk sekitar Arjasari rusak berat gak dibenerin, bikin debu tebel kalo panas tolong segera ditindak",Jalan Rusak
"Lapor pak, Gorong-gorong Pasirjambu airnya item pekat dan berbau busuk akses jalan lumpuh total ga bisa lewat muntor. tolong buatin tanggul darurat pa kades",Sampah/Banjir
Preman sering minta uang paksa ke pedagang pasar tiap pagi,Keamanan/Ketertiban
"Aspal jalan d Majalaya licin dan banyak kerikil tajam, shockbreaker muntor jebol, min tlong sampaikan ke dinas terkait",Jalan Rusak
"Warga Rancamanyar ngeluh Jln protokol rusak kena kikis air comberan, dampaknya pemotor sering kaget ngerem mendadak, tolong dinas pupr segera aspal ulang",Jalan Rusak
"plis dinas sosial audit ulang data penerima, Pencairan dana bansos d kantor pos/bank d Pangalengan udah saldo d kartu e-warong kosong melompong bikin anak yatim ga bs beli perlengkapan sekolah",Bansos
"Warga Pasirjambu ngeluh Jalan alternatif licin dan banyak kerikil tajam, dampaknya bikin velg motor peang dan ban bocor, tolong dinas pupr segera aspal ulang",Jalan Rusak
"Parah banget Jalan raya sekitar Cibaduyut rusak kena kikis air comberan, mobil ceper sering mentok tolong segera ditindak",Jalan Rusak
Min tlong Trotoar daerah Rancamanyar berlubang parah sampe bikin muntor sering jatoh tiap malem,Jalan Rusak
"Parah banget Bansos PKH dan BPNT sekitar Rancamanyar warga difabel/lansia terlewat ga didata, warga ngeluh ga ada transparansi plis segera ditindak",Bansos
"Gorong-gorong di Pasirjambu meluap ke jalan tiap ujan lebat, bikin warga gatal-gatal dan batuk, minta bantuan pompa air sedot banjir min",Sampah/Banjir
Min plis Jalan alternatif daerah Gedebage penuh kubangan air sampe mobil ceper sering mentok,Jalan Rusak
"Lapor pak, Geng mtr ugal-ugalan Rancamanyar berkeliaran bawa senjata tajam / cerulit lingkungan jadi rawan kriminal. tolong polres dan polsek rutin patroli mlm",Keamanan/Ketertiban
"Jembatan kecil d Rancamanyar amblas separuh badan, bikin debu tebel kalo panas, tlong pak lurah perhatikan jalan kami",Jalan Rusak
"tolong bantu proses pencairan kartu sy min, Kartu Sembako Murah di Solokan Jeruk udah udah 3 bulan belum cair tanpa penjelasan bikin korban PHK ga dapet perhatian sama sekali",Bansos
Jalan berlubang di dekat SDN 1 Cileunyi bahaya buat anak-anak sekolah,Jalan Rusak
Min tolong Saluran air induk daerah Solokann Jeruk tanggulnya rembes dan bocor sampe anak sekolah ga bsa lewat,Sampah/Banjir
"Lapor pak, Balap liar tengah malam Kutawaringin bikin suara bising ga bsa tidur tiap malam pedagang kecil rugi diperas terus. mohon pasang lampu jalan dan cctv di titik rawan",Keamanan/Ketertiban
"Para bgt Sampah rmh tangga sekitar Cangkuang mampet total gara-gara plastik dan sampah, barang elektronik pada rusak kerendem tolong segera ditindak",Sampah/Banjir
"Bantuan Langsung Tunai (BLT) d Ujungberung kualitas beras berkutu, apek dan hancur, warga miskin beneran cuma bisa gigit jari, mohon kades/lurah tindak tegas oknum yg motong",Bansos
"Lapor pak, Sungai/kali Kutawaringin lumpur sedimennya udah tebel bgt warga terpaksa ngungsi ke mushola. dinas kebersihan tolong angkut sampahnya",Sampah/Banjir
Min tolong Data Terpadu Kesejahteraan Sosial (DTKS) daerah Sukamenak nama dicoret tiba-tiba padahal miskin sampe lansia kurang mampu kesulitan beli beras,Bansos
"Aspal jalan d Ujungberung penuh kubangan air, bahaya bgt buat anak2 sekolah, minta plis segera d hotmix",Jalan Rusak
"Got depan rumah warga d Cangkuang penuh belatung dan lalat hijau, bau busuk kecium sampe radius 300 meter, tolong keruk selokan min",Sampah/Banjir
"Parah banget Kartu Keluarga Sejahtera (KKS) sekitar Rancaekek ada pemotongan dana sepihak oleh oknum RT/RW, warga sakit ga bs berobat krn KIS dinonaktifkan tolong segera ditindak",Bansos
"Lapor pak, Sampah rmh tangga Cangkuang meluap k jalan tiap ujan lebat warga terpaksa ngungsi k mushola. minta bantuan pompa air sedot banjir min",Sampah/Banjir
"Warga Nagregg ngeluh Jembatan kecil rusak berat gak dibenerin, dampaknya shockbreaker mtr jebol, tlg dinas pupr segera aspal ulang",Jalan Rusak
"Warga Ciganitri ngeluh Kartu Keluarga Sejahtera (KKS) saldo di kartu e-warong kosong melompong, dampaknya warga sakit ga bisa berobat krn KIS dinonaktifkan, tolong bantu proses pencairan kartu sy min",Bansos
"Parah banget Kartu Indonesia Sehat (KIS PBI) sekitar Dayeuhkolot kualitas beras berkutu, apek dan hancur, korban PHK ga dapet perhatian sama sekali tolong segera ditindak",Bansos
"Parah banget Air selokan sekitar Cileunyi bikin bau comberan masuk ke kamar, bau busuk kecium sampe radius 300 meter plis segera ditindak",Sampah/Banjir
"Lapor pak, Bantuan bedah rumah rutilahu Rancaekek warga difabel/lansia terlewat ga didata warga ngeluh ga ada transparansi. mohon kades/lurah tindak tegas oknum yg motong",Bansos
Jalan desa menuju Ciparay rusak berat sudah setahun ga diperbaiki,Jalan Rusak
Min plis Pintu air daerah Rancaekek baunya nusuk hidung bikin enek sampe bikin lingkungan kumuh dan bau menyengat,Sampah/Banjir
"Parah bgt Pemuda mabuk-mabukan sekitar Cilengkrang beraksi pas subuh warga lagi sholat, anak balita kaget nangis kebangun tolong segera ditindak",Keamanan/Ketertiban
Min tolong Kali dekat pasar daerah Kutawaringin tanggulnya rembes dan bocor sampe bikin lingkungan kumuh dan bau menyengat,Sampah/Banjir
Sungai kecil deket rumah penuh sampah plastik dan popok bekas,Sampah/Banjir
"Lapor pak, Sound horeg hajatan Cimenyan terjadi terus tiap malam minggu anak balita kaget nangis kebangun. tangkap dan tindak oknum preman meresahkan",Keamanan/Ketertiban
